Experiment ID,Strain ID,Tank,Process Version,Strain Comment,Main %
2,710,24,1,Control,44
2,66,25,1,DoE,49.5
2,67,26,1,DoE,51.5
2,68,27,1,DoE,52.5
2,69,28,1,DoE,52.3
2,70,29,1,DoE,59.6
2,90,30,1,DoE,65.5
2,91,31,1,DoE,57.6
2,92,32,1,DoE,46.5
2,93,33,1,DoE,53.1
2,94,34,1,DoE,57.8
2,95,35,1,DoE,53.1
2,710,36,1,Control,42.2
2,66,37,1,DoE,50.1
2,67,38,1,DoE,59
2,68,39,1,DoE,46.5
2,69,40,1,DoE,56.6
2,70,41,1,DoE,54
2,90,42,1,DoE,66.8
2,91,43,1,DoE,55.4
2,92,44,1,DoE,46.2
2,93,45,1,DoE,47
2,94,46,1,DoE,57.9
2,95,47,1,DoE,51.9
1,710,1,1,Control,42.7
1,55,2,1,DoE,45.9
1,56,3,1,Negative Control 1,49
1,57,4,1,DoE,53.7
1,58,5,1,DoE,52
1,59,6,1,DoE,53.6
1,60,7,1,DoE,50.4
1,61,8,1,DoE,42
1,62,9,1,DoE,56.7
1,63,10,1,Negative Control 2,23.6
1,64,11,1,DoE,50.8
1,65,12,1,DoE,47.7
1,710,13,1,Control,43.1
1,55,14,1,DoE,49.2
1,56,15,1,Negative Control 1,49
1,57,16,1,DoE,53.3
1,58,,1,DoE,100
1,59,17,1,DoE,54.4
1,60,18,1,DoE,49
1,61,19,1,DoE,41.5
1,62,20,1,DoE,41.7
1,63,21,1,Negative Control 2,39.6
1,64,22,1,DoE,49.6
1,65,23,1,DoE,52.4
